turn_id,pause_index,p_eot
en__000,0,0.2431
en__000,1,0.3855
en__000,2,0.3798
en__000,3,0.4273
en__001,0,0.4241
en__001,1,0.5838
en__002,0,0.4621
en__002,1,0.4979
en__002,2,0.5726
en__002,3,0.4732
en__002,4,0.4249
en__002,5,0.5075
en__002,6,0.4450
en__003,0,0.4613
en__004,0,0.4159
en__004,1,0.6175
en__005,0,0.3280
en__005,1,0.5153
en__006,0,0.3688
en__006,1,0.4764
en__006,2,0.5018
en__007,0,0.5819
en__007,1,0.3572
en__007,2,0.4756
en__007,3,0.4521
en__007,4,0.4527
en__007,5,0.3213
en__007,6,0.4102
en__008,0,0.4532
en__008,1,0.5009
en__008,2,0.5071
en__008,3,0.5528
en__009,0,0.4514
en__010,0,0.4720
en__010,1,0.4812
en__011,0,0.5168
en__012,0,0.4942
en__012,1,0.4647
en__012,2,0.4022
en__013,0,0.4714
en__014,0,0.4894
en__014,1,0.5694
en__015,0,0.4697
en__015,1,0.4439
en__016,0,0.3477
en__016,1,0.5258
en__016,2,0.5442
en__017,0,0.6046
en__017,1,0.6117
en__018,0,0.7154
en__018,1,0.5687
en__018,2,0.4572
en__018,3,0.5737
en__018,4,0.5325
en__018,5,0.3919
en__019,0,0.4330
en__020,0,0.5424
en__020,1,0.5192
en__020,2,0.5619
en__021,0,0.6256
en__022,0,0.5818
en__022,1,0.6477
en__023,0,0.3886
en__023,1,0.4330
en__023,2,0.4701
en__024,0,0.3445
en__024,1,0.4146
en__024,2,0.4701
en__025,0,0.3831
en__026,0,0.4626
en__027,0,0.6036
en__027,1,0.6059
en__028,0,0.2973
en__028,1,0.4599
en__029,0,0.4731
en__029,1,0.4473
en__029,2,0.3920
en__030,0,0.5935
en__030,1,0.4914
en__030,2,0.4883
en__030,3,0.5011
en__030,4,0.5346
en__031,0,0.5732
en__032,0,0.5520
en__032,1,0.5691
en__033,0,0.5083
en__034,0,0.6018
en__034,1,0.6141
en__035,0,0.5303
en__035,1,0.5875
en__035,2,0.5655
en__036,0,0.4860
en__036,1,0.5124
en__036,2,0.4310
en__037,0,0.5122
en__037,1,0.6211
en__037,2,0.4314
en__037,3,0.5393
en__038,0,0.3435
en__038,1,0.4344
en__038,2,0.3827
en__038,3,0.4075
en__039,0,0.4990
en__039,1,0.3491
en__039,2,0.3777
en__040,0,0.4126
en__041,0,0.6510
en__042,0,0.4345
en__042,1,0.3841
en__042,2,0.5401
en__042,3,0.3568
en__042,4,0.4317
en__043,0,0.6599
en__044,0,0.4573
en__044,1,0.5480
en__044,2,0.6093
en__045,0,0.3690
en__045,1,0.4109
en__046,0,0.4500
en__046,1,0.4115
en__046,2,0.5648
en__047,0,0.5607
en__048,0,0.4971
en__048,1,0.5631
en__049,0,0.4204
en__049,1,0.4464
en__049,2,0.4630
en__049,3,0.5035
en__049,4,0.5620
en__050,0,0.4256
en__051,0,0.6687
en__051,1,0.6157
en__051,2,0.3688
en__052,0,0.5361
en__052,1,0.6369
en__052,2,0.5410
en__053,0,0.4017
en__053,1,0.5600
en__054,0,0.5855
en__054,1,0.5886
en__055,0,0.5358
en__056,0,0.6371
en__057,0,0.6457
en__058,0,0.7420
en__059,0,0.4999
en__059,1,0.5634
en__059,2,0.5380
en__060,0,0.6323
en__060,1,0.5928
en__061,0,0.6683
en__061,1,0.6466
en__061,2,0.6405
en__062,0,0.6758
en__063,0,0.6551
en__063,1,0.6274
en__064,0,0.6222
en__064,1,0.6995
en__065,0,0.4525
en__065,1,0.3451
en__065,2,0.4271
en__066,0,0.5744
en__066,1,0.4230
en__067,0,0.5300
en__067,1,0.5517
en__067,2,0.5409
en__068,0,0.4412
en__068,1,0.4231
en__068,2,0.4304
en__069,0,0.5396
en__069,1,0.5816
en__070,0,0.3966
en__070,1,0.4250
en__070,2,0.5330
en__070,3,0.5912
en__070,4,0.2715
en__070,5,0.4332
en__070,6,0.4357
en__071,0,0.5103
en__072,0,0.6205
en__073,0,0.4643
en__073,1,0.4969
en__074,0,0.5415
en__075,0,0.4662
en__076,0,0.6542
en__077,0,0.3346
en__077,1,0.4692
en__077,2,0.4188
en__078,0,0.4002
en__079,0,0.5186
en__079,1,0.4801
en__080,0,0.3025
en__080,1,0.4087
en__080,2,0.4211
en__080,3,0.3447
en__080,4,0.4154
en__080,5,0.5165
en__081,0,0.5068
en__081,1,0.3504
en__081,2,0.4218
en__081,3,0.3930
en__081,4,0.5100
en__082,0,0.5592
en__082,1,0.5577
en__083,0,0.4315
en__083,1,0.4302
en__083,2,0.4469
en__084,0,0.7804
en__085,0,0.5143
en__086,0,0.5070
en__086,1,0.3776
en__086,2,0.3998
en__087,0,0.3721
en__088,0,0.5941
en__088,1,0.6233
en__089,0,0.4290
en__089,1,0.3707
en__090,0,0.5936
en__090,1,0.6797
en__090,2,0.6102
en__090,3,0.6337
en__091,0,0.0219
en__091,1,0.5732
en__091,2,0.5921
en__091,3,0.5457
en__091,4,0.5260
en__091,5,0.5927
en__091,6,0.5957
en__091,7,0.5875
en__092,0,0.7491
en__092,1,0.5210
en__093,0,0.4783
en__093,1,0.4457
en__093,2,0.4281
en__093,3,0.3410
en__093,4,0.3487
en__094,0,0.5890
en__094,1,0.5969
en__095,0,0.4314
en__095,1,0.3557
en__095,2,0.5519
en__095,3,0.3622
en__095,4,0.4433
en__095,5,0.4832
en__096,0,0.6108
en__097,0,0.4835
en__097,1,0.4658
en__098,0,0.5689
en__099,0,0.4462
