turn_id,pause_index,p_eot
en__000,0,0.2973
en__000,1,0.4054
en__000,2,0.3818
en__000,3,0.4618
en__001,0,0.4213
en__001,1,0.6167
en__002,0,0.4347
en__002,1,0.5012
en__002,2,0.5630
en__002,3,0.5068
en__002,4,0.4644
en__002,5,0.5013
en__002,6,0.4362
en__003,0,0.4673
en__004,0,0.4037
en__004,1,0.5810
en__005,0,0.3348
en__005,1,0.4848
en__006,0,0.3467
en__006,1,0.4583
en__006,2,0.5047
en__007,0,0.5395
en__007,1,0.3708
en__007,2,0.4340
en__007,3,0.4288
en__007,4,0.4497
en__007,5,0.3430
en__007,6,0.4011
en__008,0,0.4544
en__008,1,0.4650
en__008,2,0.5211
en__008,3,0.5636
en__009,0,0.4327
en__010,0,0.4165
en__010,1,0.4665
en__011,0,0.5320
en__012,0,0.4756
en__012,1,0.4420
en__012,2,0.4422
en__013,0,0.4470
en__014,0,0.4576
en__014,1,0.5295
en__015,0,0.4796
en__015,1,0.4739
en__016,0,0.4389
en__016,1,0.5098
en__016,2,0.5776
en__017,0,0.6225
en__017,1,0.5859
en__018,0,0.6946
en__018,1,0.5641
en__018,2,0.4680
en__018,3,0.5483
en__018,4,0.4861
en__018,5,0.3903
en__019,0,0.4038
en__020,0,0.4971
en__020,1,0.4732
en__020,2,0.5633
en__021,0,0.6522
en__022,0,0.5667
en__022,1,0.6139
en__023,0,0.3971
en__023,1,0.4013
en__023,2,0.4416
en__024,0,0.3241
en__024,1,0.4453
en__024,2,0.4332
en__025,0,0.3876
en__026,0,0.5023
en__027,0,0.5851
en__027,1,0.5976
en__028,0,0.3499
en__028,1,0.4219
en__029,0,0.4738
en__029,1,0.4498
en__029,2,0.4030
en__030,0,0.5334
en__030,1,0.4548
en__030,2,0.4809
en__030,3,0.4624
en__030,4,0.5158
en__031,0,0.6013
en__032,0,0.5869
en__032,1,0.5532
en__033,0,0.4996
en__034,0,0.6069
en__034,1,0.5971
en__035,0,0.5199
en__035,1,0.5920
en__035,2,0.5586
en__036,0,0.4740
en__036,1,0.4598
en__036,2,0.4427
en__037,0,0.4760
en__037,1,0.6146
en__037,2,0.4491
en__037,3,0.4934
en__038,0,0.3568
en__038,1,0.4237
en__038,2,0.4141
en__038,3,0.4311
en__039,0,0.4838
en__039,1,0.3823
en__039,2,0.4133
en__040,0,0.4060
en__041,0,0.6343
en__042,0,0.4291
en__042,1,0.3892
en__042,2,0.5362
en__042,3,0.3806
en__042,4,0.4484
en__043,0,0.6483
en__044,0,0.4697
en__044,1,0.5123
en__044,2,0.5767
en__045,0,0.4288
en__045,1,0.4560
en__046,0,0.4574
en__046,1,0.4298
en__046,2,0.5570
en__047,0,0.5557
en__048,0,0.5060
en__048,1,0.5267
en__049,0,0.4439
en__049,1,0.4656
en__049,2,0.4362
en__049,3,0.4967
en__049,4,0.5675
en__050,0,0.4102
en__051,0,0.6691
en__051,1,0.6437
en__051,2,0.4173
en__052,0,0.5556
en__052,1,0.6294
en__052,2,0.5318
en__053,0,0.4454
en__053,1,0.5444
en__054,0,0.5860
en__054,1,0.5787
en__055,0,0.5186
en__056,0,0.6043
en__057,0,0.5880
en__058,0,0.7205
en__059,0,0.4587
en__059,1,0.5775
en__059,2,0.5436
en__060,0,0.6213
en__060,1,0.6132
en__061,0,0.6988
en__061,1,0.6366
en__061,2,0.6071
en__062,0,0.6474
en__063,0,0.6357
en__063,1,0.6405
en__064,0,0.6560
en__064,1,0.6952
en__065,0,0.4448
en__065,1,0.3559
en__065,2,0.4322
en__066,0,0.5455
en__066,1,0.4008
en__067,0,0.5002
en__067,1,0.5273
en__067,2,0.5382
en__068,0,0.4277
en__068,1,0.4355
en__068,2,0.4477
en__069,0,0.5777
en__069,1,0.5750
en__070,0,0.3625
en__070,1,0.4301
en__070,2,0.5582
en__070,3,0.5852
en__070,4,0.3012
en__070,5,0.4125
en__070,6,0.4369
en__071,0,0.4911
en__072,0,0.6402
en__073,0,0.4484
en__073,1,0.4666
en__074,0,0.5167
en__075,0,0.4798
en__076,0,0.6243
en__077,0,0.3691
en__077,1,0.4654
en__077,2,0.3943
en__078,0,0.3906
en__079,0,0.5792
en__079,1,0.5211
en__080,0,0.3542
en__080,1,0.3989
en__080,2,0.4130
en__080,3,0.4149
en__080,4,0.4359
en__080,5,0.5005
en__081,0,0.5047
en__081,1,0.4013
en__081,2,0.4157
en__081,3,0.4155
en__081,4,0.5362
en__082,0,0.5392
en__082,1,0.5361
en__083,0,0.4496
en__083,1,0.4436
en__083,2,0.4426
en__084,0,0.7453
en__085,0,0.5400
en__086,0,0.4543
en__086,1,0.3581
en__086,2,0.3973
en__087,0,0.3540
en__088,0,0.5920
en__088,1,0.6247
en__089,0,0.3844
en__089,1,0.3773
en__090,0,0.5917
en__090,1,0.6469
en__090,2,0.6252
en__090,3,0.6246
en__091,0,0.5832
en__091,1,0.5781
en__091,2,0.5840
en__091,3,0.5665
en__091,4,0.5839
en__091,5,0.5925
en__091,6,0.5951
en__091,7,0.6098
en__092,0,0.7270
en__092,1,0.5695
en__093,0,0.4671
en__093,1,0.4803
en__093,2,0.4361
en__093,3,0.3975
en__093,4,0.3496
en__094,0,0.6023
en__094,1,0.5851
en__095,0,0.4262
en__095,1,0.3656
en__095,2,0.5242
en__095,3,0.3806
en__095,4,0.4468
en__095,5,0.4658
en__096,0,0.5883
en__097,0,0.5320
en__097,1,0.4951
en__098,0,0.5802
en__099,0,0.4848
