turn_id,pause_index,p_eot
en__000,0,0.1499
en__000,1,0.3668
en__000,2,0.4041
en__000,3,0.5030
en__001,0,0.3479
en__001,1,0.5938
en__002,0,0.3749
en__002,1,0.4552
en__002,2,0.6205
en__002,3,0.5681
en__002,4,0.5914
en__002,5,0.7132
en__002,6,0.6743
en__003,0,0.3972
en__004,0,0.3092
en__004,1,0.6219
en__005,0,0.2650
en__005,1,0.4656
en__006,0,0.3027
en__006,1,0.4920
en__006,2,0.5280
en__007,0,0.5447
en__007,1,0.2996
en__007,2,0.4802
en__007,3,0.5120
en__007,4,0.6013
en__007,5,0.4863
en__007,6,0.6558
en__008,0,0.3993
en__008,1,0.5038
en__008,2,0.5521
en__008,3,0.6576
en__009,0,0.3527
en__010,0,0.3888
en__010,1,0.4840
en__011,0,0.4556
en__012,0,0.4301
en__012,1,0.4547
en__012,2,0.4495
en__013,0,0.3863
en__014,0,0.4308
en__014,1,0.5556
en__015,0,0.4211
en__015,1,0.4285
en__016,0,0.2337
en__016,1,0.5097
en__016,2,0.5899
en__017,0,0.5335
en__017,1,0.6010
en__018,0,0.7100
en__018,1,0.5530
en__018,2,0.4602
en__018,3,0.6519
en__018,4,0.6113
en__018,5,0.5466
en__019,0,0.3732
en__020,0,0.4603
en__020,1,0.5018
en__020,2,0.6311
en__021,0,0.5571
en__022,0,0.5169
en__022,1,0.6418
en__023,0,0.3008
en__023,1,0.4119
en__023,2,0.5145
en__024,0,0.2604
en__024,1,0.4072
en__024,2,0.5242
en__025,0,0.3272
en__026,0,0.3997
en__027,0,0.5163
en__027,1,0.6018
en__028,0,0.1993
en__028,1,0.4579
en__029,0,0.4184
en__029,1,0.4181
en__029,2,0.4088
en__030,0,0.5590
en__030,1,0.4984
en__030,2,0.5393
en__030,3,0.6123
en__030,4,0.7043
en__031,0,0.4833
en__032,0,0.4762
en__032,1,0.5624
en__033,0,0.4074
en__034,0,0.5402
en__034,1,0.6108
en__035,0,0.4727
en__035,1,0.5700
en__035,2,0.6223
en__036,0,0.4318
en__036,1,0.4508
en__036,2,0.4562
en__037,0,0.4400
en__037,1,0.6157
en__037,2,0.4785
en__037,3,0.6543
en__038,0,0.2727
en__038,1,0.4233
en__038,2,0.4260
en__038,3,0.4947
en__039,0,0.4334
en__039,1,0.3117
en__039,2,0.3693
en__040,0,0.3382
en__041,0,0.5862
en__042,0,0.3351
en__042,1,0.3469
en__042,2,0.5895
en__042,3,0.4240
en__042,4,0.5466
en__043,0,0.6022
en__044,0,0.3853
en__044,1,0.5115
en__044,2,0.6642
en__045,0,0.2930
en__045,1,0.4032
en__046,0,0.3794
en__046,1,0.3870
en__046,2,0.6035
en__047,0,0.5065
en__048,0,0.4098
en__048,1,0.5100
en__049,0,0.3627
en__049,1,0.3978
en__049,2,0.5000
en__049,3,0.6050
en__049,4,0.7130
en__050,0,0.3606
en__051,0,0.6246
en__051,1,0.5988
en__051,2,0.3332
en__052,0,0.4652
en__052,1,0.6306
en__052,2,0.5809
en__053,0,0.2875
en__053,1,0.5584
en__054,0,0.5348
en__054,1,0.5700
en__055,0,0.4757
en__056,0,0.5957
en__057,0,0.6048
en__058,0,0.7427
en__059,0,0.4220
en__059,1,0.5456
en__059,2,0.5415
en__060,0,0.5851
en__060,1,0.6027
en__061,0,0.6140
en__061,1,0.6487
en__061,2,0.7040
en__062,0,0.6291
en__063,0,0.6231
en__063,1,0.6317
en__064,0,0.5441
en__064,1,0.6522
en__065,0,0.3894
en__065,1,0.3219
en__065,2,0.5003
en__066,0,0.5130
en__066,1,0.4161
en__067,0,0.4773
en__067,1,0.5535
en__067,2,0.6106
en__068,0,0.3349
en__068,1,0.4212
en__068,2,0.4986
en__069,0,0.4843
en__069,1,0.5984
en__070,0,0.3074
en__070,1,0.3789
en__070,2,0.5816
en__070,3,0.7129
en__070,4,0.3471
en__070,5,0.6512
en__070,6,0.6848
en__071,0,0.4387
en__072,0,0.5779
en__073,0,0.4121
en__073,1,0.5243
en__074,0,0.4815
en__075,0,0.3859
en__076,0,0.5865
en__077,0,0.2418
en__077,1,0.4630
en__077,2,0.4880
en__078,0,0.2902
en__079,0,0.4142
en__079,1,0.4521
en__080,0,0.2199
en__080,1,0.3902
en__080,2,0.4483
en__080,3,0.3865
en__080,4,0.5401
en__080,5,0.7069
en__081,0,0.4441
en__081,1,0.3156
en__081,2,0.4475
en__081,3,0.4695
en__081,4,0.6283
en__082,0,0.5115
en__082,1,0.5388
en__083,0,0.3730
en__083,1,0.4327
en__083,2,0.4964
en__084,0,0.7603
en__085,0,0.4649
en__086,0,0.4445
en__086,1,0.3592
en__086,2,0.4366
en__087,0,0.3024
en__088,0,0.5366
en__088,1,0.6284
en__089,0,0.3428
en__089,1,0.3422
en__090,0,0.5259
en__090,1,0.6864
en__090,2,0.6832
en__090,3,0.7317
en__091,0,0.0220
en__091,1,0.5791
en__091,2,0.6575
en__091,3,0.6464
en__091,4,0.6730
en__091,5,0.7810
en__091,6,0.8227
en__091,7,0.8434
en__092,0,0.7347
en__092,1,0.5174
en__093,0,0.4373
en__093,1,0.4325
en__093,2,0.4084
en__093,3,0.4037
en__093,4,0.4506
en__094,0,0.5239
en__094,1,0.6029
en__095,0,0.3704
en__095,1,0.3022
en__095,2,0.5659
en__095,3,0.4557
en__095,4,0.5345
en__095,5,0.6836
en__096,0,0.5694
en__097,0,0.3837
en__097,1,0.4191
en__098,0,0.5137
en__099,0,0.3729
