turn_id,pause_index,p_eot
en__000,0,0.1791
en__000,1,0.3212
en__000,2,0.4191
en__000,3,0.4894
en__001,0,0.2160
en__001,1,0.4942
en__002,0,0.4211
en__002,1,0.2892
en__002,2,0.7471
en__002,3,0.6979
en__002,4,0.6100
en__002,5,0.8018
en__002,6,0.6003
en__003,0,0.3934
en__004,0,0.3389
en__004,1,0.5938
en__005,0,0.1424
en__005,1,0.6937
en__006,0,0.3885
en__006,1,0.5106
en__006,2,0.5914
en__007,0,0.3968
en__007,1,0.3309
en__007,2,0.2431
en__007,3,0.5463
en__007,4,0.6626
en__007,5,0.3691
en__007,6,0.5061
en__008,0,0.2622
en__008,1,0.4304
en__008,2,0.5159
en__008,3,0.7130
en__009,0,0.3486
en__010,0,0.4290
en__010,1,0.3876
en__011,0,0.4722
en__012,0,0.3226
en__012,1,0.3198
en__012,2,0.3642
en__013,0,0.3096
en__014,0,0.5819
en__014,1,0.6496
en__015,0,0.4559
en__015,1,0.5690
en__016,0,0.2112
en__016,1,0.4923
en__016,2,0.6109
en__017,0,0.6375
en__017,1,0.7505
en__018,0,0.5515
en__018,1,0.4226
en__018,2,0.2944
en__018,3,0.5640
en__018,4,0.5172
en__018,5,0.6728
en__019,0,0.4861
en__020,0,0.4407
en__020,1,0.5891
en__020,2,0.6200
en__021,0,0.5946
en__022,0,0.6717
en__022,1,0.4849
en__023,0,0.2055
en__023,1,0.3966
en__023,2,0.5597
en__024,0,0.1792
en__024,1,0.3586
en__024,2,0.6567
en__025,0,0.5103
en__026,0,0.5139
en__027,0,0.6524
en__027,1,0.6211
en__028,0,0.2410
en__028,1,0.6172
en__029,0,0.3897
en__029,1,0.3915
en__029,2,0.6040
en__030,0,0.5521
en__030,1,0.4624
en__030,2,0.6875
en__030,3,0.7287
en__030,4,0.7206
en__031,0,0.5659
en__032,0,0.3159
en__032,1,0.6192
en__033,0,0.4186
en__034,0,0.5041
en__034,1,0.7572
en__035,0,0.4821
en__035,1,0.6001
en__035,2,0.6319
en__036,0,0.5414
en__036,1,0.2805
en__036,2,0.3753
en__037,0,0.4357
en__037,1,0.6697
en__037,2,0.4732
en__037,3,0.6867
en__038,0,0.4406
en__038,1,0.3681
en__038,2,0.4551
en__038,3,0.5673
en__039,0,0.3398
en__039,1,0.1693
en__039,2,0.1129
en__040,0,0.3507
en__041,0,0.7439
en__042,0,0.3104
en__042,1,0.2677
en__042,2,0.6203
en__042,3,0.5061
en__042,4,0.5000
en__043,0,0.6898
en__044,0,0.2429
en__044,1,0.5719
en__044,2,0.7139
en__045,0,0.3021
en__045,1,0.2868
en__046,0,0.2818
en__046,1,0.5391
en__046,2,0.6140
en__047,0,0.4929
en__048,0,0.3718
en__048,1,0.5050
en__049,0,0.2160
en__049,1,0.3018
en__049,2,0.3077
en__049,3,0.5682
en__049,4,0.7127
en__050,0,0.3699
en__051,0,0.5633
en__051,1,0.4988
en__051,2,0.4047
en__052,0,0.2838
en__052,1,0.4626
en__052,2,0.5070
en__053,0,0.4465
en__053,1,0.5533
en__054,0,0.5063
en__054,1,0.4917
en__055,0,0.6454
en__056,0,0.5552
en__057,0,0.6463
en__058,0,0.5584
en__059,0,0.2812
en__059,1,0.4749
en__059,2,0.5815
en__060,0,0.5245
en__060,1,0.5471
en__061,0,0.6234
en__061,1,0.7394
en__061,2,0.7505
en__062,0,0.6897
en__063,0,0.6097
en__063,1,0.6743
en__064,0,0.4339
en__064,1,0.6518
en__065,0,0.3711
en__065,1,0.2959
en__065,2,0.4273
en__066,0,0.5152
en__066,1,0.4953
en__067,0,0.4510
en__067,1,0.6039
en__067,2,0.5823
en__068,0,0.3035
en__068,1,0.3354
en__068,2,0.4412
en__069,0,0.3281
en__069,1,0.6074
en__070,0,0.3408
en__070,1,0.4206
en__070,2,0.4988
en__070,3,0.6516
en__070,4,0.2341
en__070,5,0.5993
en__070,6,0.7529
en__071,0,0.5727
en__072,0,0.5223
en__073,0,0.4252
en__073,1,0.6006
en__074,0,0.4864
en__075,0,0.5527
en__076,0,0.7698
en__077,0,0.2758
en__077,1,0.4868
en__077,2,0.3266
en__078,0,0.2245
en__079,0,0.4143
en__079,1,0.3295
en__080,0,0.2311
en__080,1,0.4663
en__080,2,0.4820
en__080,3,0.2247
en__080,4,0.6187
en__080,5,0.8186
en__081,0,0.2408
en__081,1,0.3745
en__081,2,0.4983
en__081,3,0.4985
en__081,4,0.7493
en__082,0,0.4394
en__082,1,0.6440
en__083,0,0.5924
en__083,1,0.5852
en__083,2,0.6424
en__084,0,0.6440
en__085,0,0.5724
en__086,0,0.5169
en__086,1,0.2202
en__086,2,0.3891
en__087,0,0.2573
en__088,0,0.5835
en__088,1,0.6338
en__089,0,0.1800
en__089,1,0.3500
en__090,0,0.4592
en__090,1,0.5853
en__090,2,0.6651
en__090,3,0.8416
en__091,0,0.0205
en__091,1,0.6131
en__091,2,0.5497
en__091,3,0.6900
en__091,4,0.6542
en__091,5,0.8382
en__091,6,0.8994
en__091,7,0.9020
en__092,0,0.6100
en__092,1,0.6037
en__093,0,0.4076
en__093,1,0.4534
en__093,2,0.3447
en__093,3,0.4493
en__093,4,0.4013
en__094,0,0.5868
en__094,1,0.6886
en__095,0,0.2082
en__095,1,0.3831
en__095,2,0.4405
en__095,3,0.3741
en__095,4,0.2586
en__095,5,0.6142
en__096,0,0.4773
en__097,0,0.3882
en__097,1,0.4991
en__098,0,0.5663
en__099,0,0.4478
