turn_id,pause_index,p_eot
hi__000,0,0.2157
hi__000,1,0.3926
hi__000,2,0.5920
hi__001,0,0.3187
hi__001,1,0.4577
hi__002,0,0.1678
hi__003,0,0.3716
hi__004,0,0.3918
hi__005,0,0.3623
hi__005,1,0.5273
hi__006,0,0.1193
hi__006,1,0.8164
hi__006,2,0.4938
hi__007,0,0.1156
hi__007,1,0.4728
hi__007,2,0.4658
hi__007,3,0.8539
hi__007,4,0.8063
hi__007,5,0.6209
hi__008,0,0.3665
hi__009,0,0.6247
hi__010,0,0.1884
hi__010,1,0.3944
hi__010,2,0.1847
hi__010,3,0.8710
hi__011,0,0.4847
hi__011,1,0.3520
hi__011,2,0.3586
hi__012,0,0.2218
hi__012,1,0.3267
hi__012,2,0.4644
hi__012,3,0.8273
hi__012,4,0.6323
hi__012,5,0.5617
hi__013,0,0.6062
hi__014,0,0.4322
hi__014,1,0.3569
hi__014,2,0.6497
hi__014,3,0.3925
hi__014,4,0.4743
hi__014,5,0.3206
hi__015,0,0.5560
hi__016,0,0.4370
hi__017,0,0.3548
hi__017,1,0.6545
hi__018,0,0.0977
hi__018,1,0.3220
hi__018,2,0.4470
hi__019,0,0.4052
hi__019,1,0.3256
hi__019,2,0.5683
hi__019,3,0.7662
hi__019,4,0.6628
hi__020,0,0.5357
hi__020,1,0.7676
hi__021,0,0.6920
hi__022,0,0.1357
hi__022,1,0.1074
hi__022,2,0.3744
hi__022,3,0.5524
hi__022,4,0.4038
hi__022,5,0.4568
hi__022,6,0.5401
hi__022,7,0.6673
hi__023,0,0.6890
hi__024,0,0.8644
hi__025,0,0.2107
hi__025,1,0.3239
hi__025,2,0.5787
hi__026,0,0.5822
hi__027,0,0.1717
hi__027,1,0.6609
hi__028,0,0.2039
hi__028,1,0.4029
hi__029,0,0.2303
hi__029,1,0.1137
hi__029,2,0.4611
hi__029,3,0.6822
hi__030,0,0.6229
hi__031,0,0.0872
hi__031,1,0.3437
hi__032,0,0.1586
hi__032,1,0.5749
hi__033,0,0.6910
hi__033,1,0.2596
hi__033,2,0.1761
hi__034,0,0.3664
hi__034,1,0.4917
hi__034,2,0.6384
hi__035,0,0.8879
hi__036,0,0.5326
hi__036,1,0.5194
hi__036,2,0.7811
hi__036,3,0.3654
hi__036,4,0.7019
hi__036,5,0.6632
hi__036,6,0.9943
hi__037,0,0.1829
hi__037,1,0.1620
hi__037,2,0.9482
hi__038,0,0.3035
hi__038,1,0.1221
hi__038,2,0.5520
hi__038,3,0.7812
hi__039,0,0.5457
hi__040,0,0.3701
hi__040,1,0.2513
hi__040,2,0.4247
hi__041,0,0.3764
hi__041,1,0.4233
hi__042,0,0.4573
hi__042,1,0.7273
hi__043,0,0.6551
hi__043,1,0.6074
hi__044,0,0.3262
hi__044,1,0.4587
hi__045,0,0.2889
hi__045,1,0.6518
hi__046,0,0.3031
