turn_id,pause_index,p_eot
en__000,0,0.1963
en__000,1,0.2430
en__000,2,0.2962
en__000,3,0.4100
en__001,0,0.4334
en__001,1,0.4522
en__002,0,0.1954
en__002,1,0.3258
en__002,2,0.7256
en__002,3,0.7151
en__002,4,0.6212
en__002,5,0.8406
en__002,6,0.6921
en__003,0,0.3734
en__004,0,0.2592
en__004,1,0.5736
en__005,0,0.1850
en__005,1,0.7026
en__006,0,0.5381
en__006,1,0.4238
en__006,2,0.6847
en__007,0,0.3388
en__007,1,0.2874
en__007,2,0.3646
en__007,3,0.4956
en__007,4,0.6078
en__007,5,0.2643
en__007,6,0.5811
en__008,0,0.5267
en__008,1,0.6217
en__008,2,0.6070
en__008,3,0.7616
en__009,0,0.2704
en__010,0,0.2958
en__010,1,0.3010
en__011,0,0.6580
en__012,0,0.3211
en__012,1,0.4175
en__012,2,0.3120
en__013,0,0.4184
en__014,0,0.5070
en__014,1,0.8642
en__015,0,0.5490
en__015,1,0.5547
en__016,0,0.2204
en__016,1,0.4694
en__016,2,0.6163
en__017,0,0.6137
en__017,1,0.6580
en__018,0,0.3857
en__018,1,0.3702
en__018,2,0.3213
en__018,3,0.7005
en__018,4,0.5521
en__018,5,0.5989
en__019,0,0.5116
en__020,0,0.2880
en__020,1,0.4588
en__020,2,0.6480
en__021,0,0.6149
en__022,0,0.4332
en__022,1,0.5827
en__023,0,0.1189
en__023,1,0.4265
en__023,2,0.5944
en__024,0,0.1766
en__024,1,0.3669
en__024,2,0.7723
en__025,0,0.8306
en__026,0,0.4154
en__027,0,0.6495
en__027,1,0.6940
en__028,0,0.1629
en__028,1,0.6322
en__029,0,0.3486
en__029,1,0.2370
en__029,2,0.5847
en__030,0,0.6128
en__030,1,0.3278
en__030,2,0.7837
en__030,3,0.7806
en__030,4,0.7277
en__031,0,0.6690
en__032,0,0.3063
en__032,1,0.7309
en__033,0,0.3419
en__034,0,0.4544
en__034,1,0.7400
en__035,0,0.4127
en__035,1,0.5463
en__035,2,0.7196
en__036,0,0.5214
en__036,1,0.2358
en__036,2,0.3437
en__037,0,0.3771
en__037,1,0.6349
en__037,2,0.4573
en__037,3,0.5278
en__038,0,0.3593
en__038,1,0.3349
en__038,2,0.3476
en__038,3,0.4568
en__039,0,0.2846
en__039,1,0.1339
en__039,2,0.1664
en__040,0,0.4501
en__041,0,0.7448
en__042,0,0.1865
en__042,1,0.4524
en__042,2,0.6562
en__042,3,0.4325
en__042,4,0.6380
en__043,0,0.6488
en__044,0,0.2369
en__044,1,0.5967
en__044,2,0.8337
en__045,0,0.2641
en__045,1,0.4427
en__046,0,0.2558
en__046,1,0.4668
en__046,2,0.5170
en__047,0,0.4603
en__048,0,0.3990
en__048,1,0.5305
en__049,0,0.3658
en__049,1,0.2357
en__049,2,0.4907
en__049,3,0.7427
en__049,4,0.7250
en__050,0,0.4185
en__051,0,0.5135
en__051,1,0.4968
en__051,2,0.3568
en__052,0,0.3306
en__052,1,0.4539
en__052,2,0.6026
en__053,0,0.3491
en__053,1,0.5153
en__054,0,0.5165
en__054,1,0.6474
en__055,0,0.6339
en__056,0,0.4967
en__057,0,0.7141
en__058,0,0.5915
en__059,0,0.3528
en__059,1,0.4423
en__059,2,0.5173
en__060,0,0.4662
en__060,1,0.5349
en__061,0,0.6959
en__061,1,0.6821
en__061,2,0.7175
en__062,0,0.6453
en__063,0,0.5997
en__063,1,0.6702
en__064,0,0.3740
en__064,1,0.6696
en__065,0,0.3607
en__065,1,0.1728
en__065,2,0.5185
en__066,0,0.4040
en__066,1,0.4648
en__067,0,0.3710
en__067,1,0.6777
en__067,2,0.5928
en__068,0,0.2481
en__068,1,0.3758
en__068,2,0.3617
en__069,0,0.2973
en__069,1,0.5819
en__070,0,0.2206
en__070,1,0.5900
en__070,2,0.4141
en__070,3,0.6768
en__070,4,0.1647
en__070,5,0.6240
en__070,6,0.6094
en__071,0,0.5266
en__072,0,0.4726
en__073,0,0.2452
en__073,1,0.5235
en__074,0,0.4428
en__075,0,0.6423
en__076,0,0.7794
en__077,0,0.2470
en__077,1,0.4547
en__077,2,0.2209
en__078,0,0.2303
en__079,0,0.3941
en__079,1,0.3283
en__080,0,0.4605
en__080,1,0.3998
en__080,2,0.3633
en__080,3,0.2368
en__080,4,0.5891
en__080,5,0.8159
en__081,0,0.3182
en__081,1,0.3103
en__081,2,0.5065
en__081,3,0.4576
en__081,4,0.8396
en__082,0,0.5953
en__082,1,0.5960
en__083,0,0.6440
en__083,1,0.4572
en__083,2,0.7092
en__084,0,0.6572
en__085,0,0.5586
en__086,0,0.4100
en__086,1,0.1025
en__086,2,0.5120
en__087,0,0.3133
en__088,0,0.6473
en__088,1,0.5762
en__089,0,0.3340
en__089,1,0.2504
en__090,0,0.5448
en__090,1,0.5663
en__090,2,0.6615
en__090,3,0.8341
en__091,0,0.0200
en__091,1,0.6477
en__091,2,0.5383
en__091,3,0.7666
en__091,4,0.5952
en__091,5,0.8693
en__091,6,0.8563
en__091,7,0.8575
en__092,0,0.6137
en__092,1,0.5217
en__093,0,0.4368
en__093,1,0.4725
en__093,2,0.3623
en__093,3,0.5695
en__093,4,0.4254
en__094,0,0.5176
en__094,1,0.8629
en__095,0,0.1267
en__095,1,0.3384
en__095,2,0.4640
en__095,3,0.1860
en__095,4,0.3093
en__095,5,0.5534
en__096,0,0.4612
en__097,0,0.3388
en__097,1,0.5638
en__098,0,0.5580
en__099,0,0.4577
