turn_id,pause_index,p_eot
en__000,0,0.1612
en__000,1,0.2766
en__000,2,0.3671
en__000,3,0.4703
en__001,0,0.2443
en__001,1,0.5081
en__002,0,0.3899
en__002,1,0.3051
en__002,2,0.7498
en__002,3,0.6910
en__002,4,0.5573
en__002,5,0.7923
en__002,6,0.6489
en__003,0,0.3837
en__004,0,0.3252
en__004,1,0.5937
en__005,0,0.2380
en__005,1,0.6599
en__006,0,0.3400
en__006,1,0.5524
en__006,2,0.6413
en__007,0,0.3675
en__007,1,0.3279
en__007,2,0.3343
en__007,3,0.5509
en__007,4,0.6362
en__007,5,0.4974
en__007,6,0.6015
en__008,0,0.3971
en__008,1,0.5571
en__008,2,0.5098
en__008,3,0.7219
en__009,0,0.3280
en__010,0,0.4213
en__010,1,0.4130
en__011,0,0.4227
en__012,0,0.3095
en__012,1,0.3474
en__012,2,0.3670
en__013,0,0.3654
en__014,0,0.5544
en__014,1,0.6923
en__015,0,0.4451
en__015,1,0.5440
en__016,0,0.2046
en__016,1,0.4773
en__016,2,0.6169
en__017,0,0.6441
en__017,1,0.7300
en__018,0,0.5461
en__018,1,0.4007
en__018,2,0.3412
en__018,3,0.6501
en__018,4,0.4645
en__018,5,0.6527
en__019,0,0.3714
en__020,0,0.4904
en__020,1,0.5620
en__020,2,0.6017
en__021,0,0.5837
en__022,0,0.6532
en__022,1,0.5803
en__023,0,0.1845
en__023,1,0.3585
en__023,2,0.5158
en__024,0,0.1575
en__024,1,0.3976
en__024,2,0.6350
en__025,0,0.5051
en__026,0,0.5202
en__027,0,0.6510
en__027,1,0.6223
en__028,0,0.2644
en__028,1,0.5829
en__029,0,0.3887
en__029,1,0.4321
en__029,2,0.5962
en__030,0,0.5646
en__030,1,0.5110
en__030,2,0.6718
en__030,3,0.6902
en__030,4,0.7198
en__031,0,0.5604
en__032,0,0.3292
en__032,1,0.5800
en__033,0,0.4136
en__034,0,0.4995
en__034,1,0.7508
en__035,0,0.4758
en__035,1,0.6047
en__035,2,0.6150
en__036,0,0.5336
en__036,1,0.2954
en__036,2,0.3404
en__037,0,0.4729
en__037,1,0.6790
en__037,2,0.4250
en__037,3,0.6450
en__038,0,0.4044
en__038,1,0.3454
en__038,2,0.4198
en__038,3,0.5322
en__039,0,0.3689
en__039,1,0.1920
en__039,2,0.1179
en__040,0,0.3663
en__041,0,0.7508
en__042,0,0.2667
en__042,1,0.3718
en__042,2,0.6327
en__042,3,0.3370
en__042,4,0.5251
en__043,0,0.7004
en__044,0,0.2478
en__044,1,0.4625
en__044,2,0.7226
en__045,0,0.3249
en__045,1,0.3441
en__046,0,0.2587
en__046,1,0.5285
en__046,2,0.6007
en__047,0,0.4689
en__048,0,0.3601
en__048,1,0.4585
en__049,0,0.2831
en__049,1,0.3119
en__049,2,0.3470
en__049,3,0.6436
en__049,4,0.6802
en__050,0,0.3369
en__051,0,0.5445
en__051,1,0.4963
en__051,2,0.3807
en__052,0,0.2859
en__052,1,0.4600
en__052,2,0.4939
en__053,0,0.4390
en__053,1,0.5552
en__054,0,0.4998
en__054,1,0.5656
en__055,0,0.5152
en__056,0,0.5594
en__057,0,0.6220
en__058,0,0.5639
en__059,0,0.3148
en__059,1,0.4560
en__059,2,0.5536
en__060,0,0.5183
en__060,1,0.5469
en__061,0,0.6454
en__061,1,0.7462
en__061,2,0.7250
en__062,0,0.6940
en__063,0,0.6172
en__063,1,0.6708
en__064,0,0.4468
en__064,1,0.6703
en__065,0,0.3612
en__065,1,0.3371
en__065,2,0.4681
en__066,0,0.4978
en__066,1,0.4464
en__067,0,0.4404
en__067,1,0.6079
en__067,2,0.5782
en__068,0,0.2895
en__068,1,0.3085
en__068,2,0.4266
en__069,0,0.3078
en__069,1,0.5872
en__070,0,0.3283
en__070,1,0.3702
en__070,2,0.4806
en__070,3,0.6348
en__070,4,0.2270
en__070,5,0.5853
en__070,6,0.7223
en__071,0,0.5628
en__072,0,0.5162
en__073,0,0.3951
en__073,1,0.5915
en__074,0,0.4832
en__075,0,0.5533
en__076,0,0.7664
en__077,0,0.2687
en__077,1,0.4870
en__077,2,0.4064
en__078,0,0.2765
en__079,0,0.4224
en__079,1,0.2953
en__080,0,0.2982
en__080,1,0.4358
en__080,2,0.4493
en__080,3,0.2208
en__080,4,0.5746
en__080,5,0.8021
en__081,0,0.2594
en__081,1,0.3766
en__081,2,0.4425
en__081,3,0.4648
en__081,4,0.7431
en__082,0,0.4687
en__082,1,0.6437
en__083,0,0.5731
en__083,1,0.6071
en__083,2,0.7233
en__084,0,0.6766
en__085,0,0.5737
en__086,0,0.4939
en__086,1,0.2660
en__086,2,0.3747
en__087,0,0.2348
en__088,0,0.6164
en__088,1,0.6193
en__089,0,0.3117
en__089,1,0.3603
en__090,0,0.4348
en__090,1,0.6207
en__090,2,0.6619
en__090,3,0.8377
en__091,0,0.0218
en__091,1,0.6392
en__091,2,0.5736
en__091,3,0.7552
en__091,4,0.6754
en__091,5,0.8482
en__091,6,0.8902
en__091,7,0.9013
en__092,0,0.6129
en__092,1,0.5978
en__093,0,0.4192
en__093,1,0.4752
en__093,2,0.3106
en__093,3,0.4338
en__093,4,0.4514
en__094,0,0.5798
en__094,1,0.6819
en__095,0,0.2984
en__095,1,0.3767
en__095,2,0.5046
en__095,3,0.3303
en__095,4,0.2708
en__095,5,0.5749
en__096,0,0.4745
en__097,0,0.3920
en__097,1,0.4693
en__098,0,0.6015
en__099,0,0.4407
